RowID,Survey Method,Survey Type,Reporting Date,Reporting Year,City,Age,Age Group,Gender,Race,Ethnicity,Hispanic,Veteran Status,Chronic,Latitude,Longitude,Geolocation
5462,Interview,App,01/27/2020,2020,Tempe,25-54,25+,male,Multiple Races,No,Multiple Races,No,true,33.421679213,-111.93609771,POINT (-111.93609771 33.421679213)
5311,Interview,App,01/27/2020,2020,Tempe,25-54,25+,male,White,No,White,No,true,33.421958308,-111.935701788,POINT (-111.935701788 33.421958308)
6200,Observation Tool,App,01/27/2020,2020,Phoenix,55-61,25+,female,White,DK/REF,White,,,33.448627163,-112.078426816,POINT (-112.078426816 33.448627163)
5937,Observation Tool,App,01/27/2020,2020,Phoenix,62+,25+,female,Black or African American,No,Black or African American,,,33.451014438,-112.07519731,POINT (-112.07519731 33.451014438)
6533,Observation Tool,App,01/27/2020,2020,Phoenix,55-61,25+,male,White,No,White,,,33.5680513,-112.1141332,POINT (-112.1141332 33.5680513)
6977,Observation Tool,App,01/27/2020,2020,Scottsdale,25-54,25+,male,White,No,White,,,33.465400566,-111.908072764,POINT (-111.908072764 33.465400566)
5201,Interview,App,01/27/2020,2020,Phoenix,55-61,25+,female,White,No,White,No,,33.465575329,-112.144722473,POINT (-112.144722473 33.465575329)
6934,Observation Tool,App,01/27/2020,2020,Tempe,18-24,18-24,female,White,No,White,,,33.415091667,-111.917416667,POINT (-111.917416667 33.415091667)
5450,Interview,App,01/27/2020,2020,Tempe,0-17,0-17,male,Black or African American,No,Black or African American,No,,33.407963533,-111.89200717,POINT (-111.89200717 33.407963533)
6682,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,,,33.4608797,-112.07361292,POINT (-112.07361292 33.4608797)
5709,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,female,DK/REF,DK/REF,DK/REF,,,33.44480207,-112.08482339,POINT (-112.08482339 33.44480207)
6870,Observation Tool,App,01/27/2020,2020,Tempe,18-24,18-24,male,White,No,White,,,33.42181,-111.935973333,POINT (-111.935973333 33.42181)
6231,Observation Tool,App,01/27/2020,2020,Tempe,25-54,25+,male,Black or African American,No,Black or African American,,,33.41122772,-111.88901321,POINT (-111.88901321 33.41122772)
6695,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,Black or African American,DK/REF,Black or African American,,,33.50906465,-112.09104948,POINT (-112.09104948 33.50906465)
6144,Observation Tool,App,01/27/2020,2020,Tempe,18-24,18-24,male,White,No,White,,,33.393265405,-111.977777593,POINT (-111.977777593 33.393265405)
6544,Observation Tool,App,01/27/2020,2020,Tempe,25-54,25+,male,White,No,White,,,33.42186003,-111.94223355,POINT (-111.94223355 33.42186003)
6587,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,18-24,DK/REF,DK/REF,DK/REF,DK/REF,,,33.49439243,-112.16727414,POINT (-112.16727414 33.49439243)
5403,Interview,App,01/27/2020,2020,Tempe,25-54,25+,male,White,Yes,White,No,,33.414679826,-111.887263013,POINT (-111.887263013 33.414679826)
5065,Interview,App,01/27/2020,2020,Tempe,55-61,25+,male,White,No,White,No,true,33.43630302,-111.90944409,POINT (-111.90944409 33.43630302)
